Time resolution is 1 ps
Time | i    | v | y
---------------------
               10000 | 0000 | 0 | 00
               20000 | 0001 | 1 | 00
               30000 | 0010 | 1 | 01
               40000 | 0011 | 1 | 00
               50000 | 0100 | 1 | 10
               60000 | 0101 | 1 | 00
               70000 | 0110 | 1 | 01
               80000 | 0111 | 1 | 00
               90000 | 1000 | 1 | 11
              100000 | 1001 | 1 | 00
              110000 | 1010 | 1 | 01
              120000 | 1011 | 1 | 00
              130000 | 1100 | 1 | 10
              140000 | 1101 | 1 | 00
              150000 | 1110 | 1 | 01
              160000 | 1111 | 1 | 00
              170000 | 0000 | 0 | 00
              180000 | 0001 | 1 | 00
              190000 | 0010 | 1 | 01
              200000 | 0011 | 1 | 00
              210000 | 0100 | 1 | 10
              220000 | 0101 | 1 | 00
              230000 | 0110 | 1 | 01
              240000 | 0111 | 1 | 00
              250000 | 1000 | 1 | 11
              260000 | 1001 | 1 | 00
              270000 | 1010 | 1 | 01
              280000 | 1011 | 1 | 00
              290000 | 1100 | 1 | 10
              300000 | 1101 | 1 | 00
              310000 | 1110 | 1 | 01
              320000 | 1111 | 1 | 00
              330000 | 0000 | 0 | 00
              340000 | 0001 | 1 | 00
              350000 | 0010 | 1 | 01
              360000 | 0011 | 1 | 00
              370000 | 0100 | 1 | 10
              380000 | 0101 | 1 | 00
              390000 | 0110 | 1 | 01
              400000 | 0111 | 1 | 00
              410000 | 1000 | 1 | 11
              420000 | 1001 | 1 | 00
              430000 | 1010 | 1 | 01
              440000 | 1011 | 1 | 00
              450000 | 1100 | 1 | 10
              460000 | 1101 | 1 | 00
              470000 | 1110 | 1 | 01
              480000 | 1111 | 1 | 00
              490000 | 0000 | 0 | 00
              500000 | 0001 | 1 | 00
              510000 | 0010 | 1 | 01
              520000 | 0011 | 1 | 00
              530000 | 0100 | 1 | 10
              540000 | 0101 | 1 | 00
              550000 | 0110 | 1 | 01
              560000 | 0111 | 1 | 00
              570000 | 1000 | 1 | 11
              580000 | 1001 | 1 | 00
              590000 | 1010 | 1 | 01
              600000 | 1011 | 1 | 00
              610000 | 1100 | 1 | 10
              620000 | 1101 | 1 | 00
              630000 | 1110 | 1 | 01
              640000 | 1111 | 1 | 00
              650000 | 0000 | 0 | 00
              660000 | 0001 | 1 | 00
              670000 | 0010 | 1 | 01
              680000 | 0011 | 1 | 00
              690000 | 0100 | 1 | 10
              700000 | 0101 | 1 | 00
              710000 | 0110 | 1 | 01
              720000 | 0111 | 1 | 00
              730000 | 1000 | 1 | 11
              740000 | 1001 | 1 | 00
              750000 | 1010 | 1 | 01
              760000 | 1011 | 1 | 00
              770000 | 1100 | 1 | 10
              780000 | 1101 | 1 | 00
              790000 | 1110 | 1 | 01
              800000 | 1111 | 1 | 00
              810000 | 0000 | 0 | 00
              820000 | 0001 | 1 | 00
              830000 | 0010 | 1 | 01
              840000 | 0011 | 1 | 00
              850000 | 0100 | 1 | 10
              860000 | 0101 | 1 | 00
              870000 | 0110 | 1 | 01
              880000 | 0111 | 1 | 00
              890000 | 1000 | 1 | 11
              900000 | 1001 | 1 | 00
              910000 | 1010 | 1 | 01
              920000 | 1011 | 1 | 00
              930000 | 1100 | 1 | 10
              940000 | 1101 | 1 | 00
              950000 | 1110 | 1 | 01
              960000 | 1111 | 1 | 00
              970000 | 0000 | 0 | 00
              980000 | 0001 | 1 | 00
              990000 | 0010 | 1 | 01
             1000000 | 0011 | 1 | 00
